鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
平鎮區,房地(土地+建物)+車位,桃園市平鎮區文化街９０巷８８號五樓,35.06,都市：其他:住宅區,,,1110128,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101209,182.47,3,2,2,有,有,13240000,79293,坡道平面,33.15,1400000,預售屋、或土地及建物分件登記案件；,RPSNMLQJKHHGFGH48DA,91.72,0.0,9.95,有,
平鎮區,房地(土地+建物)+車位,桃園市平鎮區文化街９０巷８８號六樓,35.06,都市：其他:住宅區,,,1110128,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101209,184.32999999999998,3,2,2,有,有,13550000,80705,坡道平面,35.02,1500000,預售屋、或土地及建物分件登記案件；,RPTNMLQJKHHGFGH58DA,91.72,0.0,9.95,有,
平鎮區,房地(土地+建物)+車位,桃園市平鎮區文化街９０巷８８號七樓,35.06,都市：其他:住宅區,,,1110128,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101209,184.32999999999998,3,2,2,有,有,13250000,79365,坡道平面,35.02,1400000,預售屋、或土地及建物分件登記案件；,RPUNMLQJKHHGFGH68DA,91.72,0.0,9.95,有,
平鎮區,房地(土地+建物)+車位,桃園市平鎮區文化街９０巷８８號八樓,35.06,都市：其他:住宅區,,,1110128,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101209,184.32999999999998,3,2,2,有,有,14000000,83049,坡道平面,35.02,1600000,預售屋、或土地及建物分件登記案件；,RPVNMLQJKHHGFGH78DA,91.72,0.0,9.95,有,
平鎮區,房地(土地+建物)+車位,桃園市平鎮區文化街９０巷８８號九樓,35.06,都市：其他:住宅區,,,1110128,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101209,184.32999999999998,3,2,2,有,有,15110000,89813,坡道平面,35.02,1700000,預售屋、或土地及建物分件登記案件；,RPXNMLQJKHHGFGH98DA,91.72,0.0,9.95,有,
平鎮區,房地(土地+建物)+車位,桃園市平鎮區文化街９０巷８８號十樓,41.65,都市：其他:住宅區,,,1110128,土地1建物1車位2,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101209,217.49,3,2,2,有,有,15150000,83389,坡道平面,68.19,2700000,預售屋、或土地及建物分件登記案件；,RPOOMLQJKHHGFGH18DA,91.72,0.0,9.95,有,
平鎮區,房地(土地+建物)+車位,桃園市平鎮區文化街９０巷８８號十一樓,35.06,都市：其他:住宅區,,,1110128,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101209,182.47,3,2,2,有,有,14350000,85387,坡道平面,33.15,1600000,預售屋、或土地及建物分件登記案件；,RPPOMLQJKHHGFGH28DA,91.72,0.0,9.95,有,
平鎮區,房地(土地+建物)+車位,桃園市平鎮區文化街９０巷８８號十二樓,35.06,都市：其他:住宅區,,,1110128,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101209,184.32999999999998,3,2,2,有,有,14880000,88942,坡道平面,35.02,1600000,預售屋、或土地及建物分件登記案件；,RPQOMLQJKHHGFGH38DA,91.72,0.0,9.95,有,
平鎮區,房地(土地+建物)+車位,桃園市平鎮區文化街９０巷８８號十三樓,35.06,都市：其他:住宅區,,,1110128,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101209,184.32999999999998,3,2,2,有,有,15700000,93765,坡道平面,35.02,1700000,預售屋、或土地及建物分件登記案件；,RPROMLQJKHHGFGH48DA,91.72,0.0,9.95,有,
平鎮區,房地(土地+建物)+車位,桃園市平鎮區文化街９０巷８６號二樓,35.06,都市：其他:住宅區,,,1110128,土地1建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101209,184.32999999999998,3,2,2,有,有,14280000,84254,坡道平面,35.02,1700000,預售屋、或土地及建物分件登記案件；,RPSOMLQJKHHGFGH58DA,91.72,0.0,9.95,有,
平鎮區,房地(土地+建物)+車位,桃園市平鎮區文化街９０巷８６號三樓,35.06,都市：其他:住宅區,,,1110128,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101209,182.47,3,2,2,有,有,14570000,86191,坡道平面,33.15,1700000,預售屋、或土地及建物分件登記案件；,RPTOMLQJKHHGFGH68DA,91.72,0.0,9.95,有,
平鎮區,房地(土地+建物)+車位,桃園市平鎮區文化街９０巷８６號四樓,35.06,都市：其他:住宅區,,,1110128,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101209,184.32999999999998,3,2,2,有,有,13800000,74866,坡道平面,0.0,1700000,預售屋、或土地及建物分件登記案件；,RPUOMLQJKHHGFGH78DA,91.72,0.0,9.95,有,
平鎮區,房地(土地+建物)+車位,桃園市平鎮區文化街９０巷８６號五樓,35.06,都市：其他:住宅區,,,1110128,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101209,184.32999999999998,3,2,2,有,有,13420000,80504,坡道平面,35.02,1400000,預售屋、或土地及建物分件登記案件；,RPVOMLQJKHHGFGH88DA,91.72,0.0,9.95,有,
平鎮區,房地(土地+建物)+車位,桃園市平鎮區文化街９０巷８６號六樓,35.06,都市：其他:住宅區,,,1110128,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101209,184.32999999999998,3,2,2,有,有,13660000,81441,坡道平面,35.02,1500000,預售屋、或土地及建物分件登記案件；,RPWOMLQJKHHGFGH98DA,91.72,0.0,9.95,有,
平鎮區,房地(土地+建物)+車位,桃園市平鎮區文化街９０巷８６號七樓,35.06,都市：其他:住宅區,,,1110128,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101209,184.32999999999998,3,2,2,有,有,13990000,83651,坡道平面,35.02,1500000,預售屋、或土地及建物分件登記案件；,RPXOMLQJKHHGFGH09DA,91.72,0.0,9.95,有,
平鎮區,房地(土地+建物)+車位,桃園市平鎮區文化街９０巷８６號八樓,41.65,都市：其他:住宅區,,,1110128,土地1建物1車位2,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101209,219.36,3,2,2,有,有,15190000,81648,坡道平面,70.06,3000000,預售屋、或土地及建物分件登記案件；,RPOPMLQJKHHGFGH28DA,91.72,0.0,9.95,有,
